Item ID,Description,Inv Unt,Net Quantity,chassi
01346832,"TUBING,PLASTIC,1/4 OD,RED,SAE",ft,20.0000,F562889
01346832,"TUBING,PLASTIC,1/4 OD,RED,SAE",ft,3.0000,F562889
00654962,"TUBING,PLASTIC,1/4 OD,BLACK,SA",ft,10.0000,F562889
00654962,"TUBING,PLASTIC,1/4 OD,BLACK,SA",ft,50.0000,F562889
00654962,"TUBING,PLASTIC,1/4 OD,BLACK,SA",ft,36.0000,F562889
00989319,"TUBING,PLASTIC,3/8 OD,BLACK,SA",ft,25.0000,F562889
00654962,"TUBING,PLASTIC,1/4 OD,BLACK,SA",ft,14.0000,F562889
00013086,"TUBING,PLASTIC,3/8 OD,GRAY,SAE",ft,23.0000,F562889
00012443,"TUBING,PLASTIC,3/8 OD,GREEN,SA",ft,24.0000,F562889
00012450,"TUBING,PLASTIC,3/8 OD,ORANGE,S",ft,24.0000,F562889
01346881,"TUBING,PLASTIC,1/2 OD,RED,SAE",ft,21.0000,F562889
04760330,"TUBING,PLASTIC,5/8OD,ORANGE,SA",ft,18.0000,F562889
04760328,"TUBING,PLASTIC,5/8OD,GREEN,SAE",ft,24.0000,F562889
01346857,"TUBING,PLASTIC,3/8 OD,BLUE,SAE",ft,13.0000,F562889
01346824,"TUBING,PLASTIC,1/4 OD,BLUE,SAE",ft,14.0000,F562889
01346865,"TUBING,PLASTIC,1/2 OD,BLACK,SA",ft,3.0000,F562889
01346865,"TUBING,PLASTIC,1/2 OD,BLACK,SA",ft,3.0000,F562889
00654962,"TUBING,PLASTIC,1/4 OD,BLACK,SA",ft,5.5000,F562889
04760330,"TUBING,PLASTIC,5/8OD,ORANGE,SA",ft,10.0000,F562889
